id1,id2,station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,valid_ET,Day Of Week ET,sunrise,sunset,daylight
51,116,JYO,2023-09-02 14:55:00+00:00,75.2,60.8,60.9,240.0,6.0,0.0,30.25,,10.0,,CLR,,,,,,,,,,,,,,,75.2,KJYO 021455Z AUTO 24006KT 10SM CLR 24/16 A3025 RMK AO2,,2023-09-02 10:55:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
52,117,JYO,2023-09-02 15:15:00+00:00,77.0,59.0,53.8,180.0,6.0,0.0,30.24,,10.0,,CLR,,,,,,,,,,,,,,,77.0,KJYO 021515Z AUTO 18006KT 10SM CLR 25/15 A3024 RMK AO2,,2023-09-02 11:15:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
53,118,JYO,2023-09-02 15:35:00+00:00,78.8,59.0,50.69,140.0,5.0,0.0,30.23,,10.0,,CLR,,,,,,,,,,,,,,,78.8,KJYO 021535Z AUTO 14005KT 10SM CLR 26/15 A3023 RMK AO2,,2023-09-02 11:35:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
54,119,JYO,2023-09-02 15:55:00+00:00,78.8,59.0,50.69,210.0,5.0,0.0,30.23,,10.0,,BKN,,,,5500.0,,,,,,,,,,,78.8,KJYO 021555Z AUTO 21005KT 10SM BKN055 26/15 A3023 RMK AO2,,2023-09-02 11:55:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
55,120,JYO,2023-09-02 16:15:00+00:00,80.6,60.8,50.95,270.0,5.0,0.0,30.23,,10.0,,BKN,,,,5500.0,,,,,,,,,,,81.46,KJYO 021615Z AUTO 27005KT 10SM BKN055 27/16 A3023 RMK AO2,,2023-09-02 12:15:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
56,121,JYO,2023-09-02 16:35:00+00:00,78.8,59.0,50.69,150.0,3.0,0.0,30.21,,10.0,,BKN,,,,5500.0,,,,,,,,,,,78.8,KJYO 021635Z AUTO 15003KT 10SM BKN055 26/15 A3021 RMK AO2,,2023-09-02 12:35:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
57,122,JYO,2023-09-02 16:55:00+00:00,82.4,60.8,48.05,240.0,5.0,0.0,30.2,,10.0,,SCT,,,,5500.0,,,,,,,,,,,82.9,KJYO 021655Z AUTO 24005KT 10SM SCT055 28/16 A3020 RMK AO2,,2023-09-02 12:55:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
58,123,JYO,2023-09-02 17:15:00+00:00,82.4,60.8,48.05,20.0,4.0,0.0,30.19,,10.0,,CLR,,,,,,,,,,,,,,,82.9,KJYO 021715Z AUTO 02004KT 10SM CLR 28/16 A3019 RMK AO2,,2023-09-02 13:15:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
59,124,JYO,2023-09-02 17:35:00+00:00,86.0,60.8,42.8,230.0,4.0,0.0,30.18,,10.0,,CLR,,,,,,,,,,,,,,,86.05,KJYO 021735Z AUTO 23004KT 10SM CLR 30/16 A3018 RMK AO2,,2023-09-02 13:35:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
60,125,JYO,2023-09-02 17:55:00+00:00,82.4,60.8,48.05,0.0,0.0,0.0,30.16,,10.0,,CLR,,,,,,,,,,,,,,,82.9,KJYO 021755Z AUTO 00000KT 10SM CLR 28/16 A3016 RMK AO2,,2023-09-02 13:55:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
61,126,JYO,2023-09-02 18:15:00+00:00,87.8,60.8,40.41,280.0,4.0,0.0,30.16,,10.0,,CLR,,,,,,,,,,,,,,,87.75,KJYO 021815Z AUTO 28004KT 10SM CLR 31/16 A3016 RMK AO2,,2023-09-02 14:15:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
62,127,JYO,2023-09-02 18:35:00+00:00,84.2,60.8,45.34,0.0,0.0,0.0,30.15,,10.0,,SCT,,,,5500.0,,,,,,,,,,,84.43,KJYO 021835Z AUTO 00000KT 10SM SCT055 29/16 A3015 RMK AO2,,2023-09-02 14:35:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
63,128,JYO,2023-09-02 18:55:00+00:00,86.0,60.8,42.8,240.0,5.0,0.0,30.14,,10.0,,SCT,,,,5500.0,,,,,,,,,,,86.05,KJYO 021855Z AUTO 24005KT 10SM SCT055 30/16 A3014 RMK AO2,,2023-09-02 14:55:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
64,129,JYO,2023-09-02 19:15:00+00:00,87.8,60.8,40.41,0.0,0.0,0.0,30.13,,10.0,,CLR,,,,,,,,,,,,,,,87.75,KJYO 021915Z AUTO 00000KT 10SM CLR 31/16 A3013 RMK AO2,,2023-09-02 15:15:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
65,130,JYO,2023-09-02 19:35:00+00:00,86.0,59.0,40.14,120.0,3.0,0.0,30.12,,10.0,,SCT,,,,6000.0,,,,,,,,,,,85.47,KJYO 021935Z AUTO 12003KT 10SM SCT060 30/15 A3012 RMK AO2,,2023-09-02 15:35:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
66,131,JYO,2023-09-02 19:55:00+00:00,87.8,60.8,40.41,240.0,5.0,0.0,30.12,,10.0,,CLR,,,,,,,,,,,,,,,87.75,KJYO 021955Z AUTO 24005KT 10SM CLR 31/16 A3012 RMK AO2,,2023-09-02 15:55:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
67,132,JYO,2023-09-02 20:15:00+00:00,87.8,60.8,40.41,0.0,0.0,0.0,30.11,,10.0,,CLR,,,,,,,,,,,,,,,87.75,KJYO 022015Z AUTO 00000KT 10SM CLR 31/16 A3011 RMK AO2,,2023-09-02 16:15:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
68,133,JYO,2023-09-02 20:35:00+00:00,87.8,59.0,37.9,210.0,4.0,0.0,30.1,,10.0,,CLR,,,,,,,,,,,,,,,87.12,KJYO 022035Z AUTO 21004KT 10SM CLR 31/15 A3010 RMK AO2,,2023-09-02 16:35:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
69,134,JYO,2023-09-02 20:55:00+00:00,87.8,59.0,37.9,0.0,0.0,0.0,30.1,,10.0,,CLR,,,,,,,,,,,,,,,87.12,KJYO 022055Z AUTO 00000KT 10SM CLR 31/15 A3010 RMK AO2,,2023-09-02 16:55:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
70,135,JYO,2023-09-02 21:15:00+00:00,87.8,59.0,37.9,0.0,0.0,0.0,30.1,,10.0,,CLR,,,,,,,,,,,,,,,87.12,KJYO 022115Z AUTO 00000KT 10SM CLR 31/15 A3010 RMK AO2,,2023-09-02 17:15:00-04:00,5,2023-09-02 10:38:01.238896+00:00,2023-09-02 23:37:02.770575+00:00,True
